Week,BTAL,CHEP,CPI,HDG,MCRO,MNA,MOM,MRGR,QAI,QMN,RALS,RLY,SIZ,WTMF
2019-21,0.00626398,-0.00545906,-0.00253807,-0.00111857,0.00038835,0.00188917,0.00795229,0.0,0.0,0.0,-0.00114416,-0.00611746,-0.0065538,-0.01292658
2019-20,0.00722348,-0.01314508,-0.00325145,-0.00066979,-0.00155159,0.00442758,0.0,0.00349275,-0.00066845,0.00115207,-0.0022792,-0.00687424,-0.00705755,-0.01119023
2019-19,-0.00451671,-0.01909308,0.0028975,0.00536553,0.00310198,-0.00504255,0.00163465,-0.00214247,0.00301306,0.00346287,-0.00370054,0.00731707,-0.00912997,0.00202429
2019-18,0.01642421,-0.0070922,-0.00323625,-0.01335084,-0.00611621,-0.00188324,0.01587302,-0.00106667,-0.00594845,-0.00343249,-0.0017094,-0.0075818,-0.01366264,0.00507228
2019-17,0.00520833,0.00517647,0.00071968,-0.00131406,0.0007619,0.01212508,0.01057977,0.00267237,0.0009901,0.00114329,0.00142572,-0.00316456,0.00052798,-0.00203097
2019-16,0.00951022,-0.00886608,-0.00072098,0.00021959,-0.00152207,-0.0019084,0.01242502,0.00483611,-0.00033036,0.00190985,-0.00764439,-0.00276134,0.00424854,-0.00203459
2019-15,-0.00378788,0.0046729,0.00036062,0.00153812,0.00228571,-0.00725323,-0.00809889,-0.00053648,-0.00066028,-0.00038168,0.00312234,-0.00235756,-0.00684932,0.00255624
2019-14,-0.00237643,-0.0027946,0.00108303,0.00021983,0.0,-0.00593936,0.00213675,-0.00187416,-0.00033036,0.00229446,-0.00085106,-0.00234467,0.00263992,0.00205076
2019-13,-0.01591015,0.015625,0.00362319,0.00975177,0.00381971,0.00156397,-0.02458333,0.00214247,0.00365085,0.00229973,0.00541465,0.00671406,0.01118807,0.00180087
2019-12,-0.00690926,-0.00094607,0.00327749,0.00402145,0.00346554,0.00471995,0.00208247,0.00322494,0.00266756,0.00308166,0.00028401,0.0,0.00968263,0.00257798
2019-11,0.02181128,-0.01447246,-0.00362845,-0.00510204,-0.00650842,-0.00689223,0.00546908,0.00053648,-0.00332557,-0.00077012,-0.00424328,-0.00635173,-0.01689546,0.0015456
2019-10,-0.00328484,-0.00465549,0.002185,0.0064906,0.00424219,-0.00404984,-0.00420875,-0.00053362,0.00401338,0.00347893,-0.00310121,0.01049233,-0.00631247,-0.00691244
2019-09,0.02239162,-0.04276169,-0.00508906,-0.00778124,-0.00615858,-0.00558833,0.00810926,-0.00133941,-0.00434057,-0.00270584,-0.00225289,-0.00926672,-0.01706308,0.00412053
2019-08,0.01153292,-0.01182894,0.0,-0.00266371,-0.00230326,0.00310945,0.00772532,-0.00320684,0.00066778,0.0003867,0.00028098,-0.00759696,-0.00103093,-0.00257798
2019-07,-0.00804924,-0.00273848,0.00291758,0.00245426,0.00308761,-0.00062016,0.00086059,-0.00373932,0.00335008,0.00116279,-0.00196078,0.00883179,0.00257998,-0.00025786
2019-06,-0.01444548,0.0204556,0.00624082,0.00857401,0.00583885,0.00218069,-0.00843882,0.00160944,0.00607492,0.00467654,0.00084199,0.01765189,0.00727273,0.00206879
2019-05,0.01177024,-0.01646091,-0.00256598,-0.00179654,-0.00310559,-0.00557103,0.00598291,0.00269614,-0.00168294,-0.00038941,-0.00028114,-0.00933442,0.0,0.00705513
2019-04,-0.00610042,-0.00542495,0.00553914,0.00883953,0.00862069,0.00467144,-0.00468683,-0.00188425,0.00712347,0.00156067,0.00535664,0.02746567,-0.00572023,-0.00260349
2019-03,-0.01032864,0.0031746,0.00481303,0.00409277,0.00826772,0.0094162,-0.01263158,0.00542888,0.00646919,0.00352388,0.00139899,0.01548765,0.00312989,-0.0075188
2019-02,-0.01173158,0.00501367,0.00483271,0.00961979,0.01028074,0.00062441,0.00296108,-0.00994089,0.00752137,0.00510605,0.00392707,0.01600674,0.02346667,-0.00207792
2019-01,-0.01256398,-0.00091075,0.00634565,0.01130595,0.00793966,0.0047081,-0.00626305,0.00648649,0.00445358,0.00117832,-0.0075167,0.02010265,0.0,-0.00155763
2019-00,-0.02080507,0.01210992,0.00375799,0.00256171,0.0068109,0.00252286,-0.02750809,-0.00108167,0.00865651,0.00873709,0.00587906,0.02553941,0.00752284,-0.00361197
2018-51,-0.00405954,-0.00866788,0.00911508,0.01153484,0.00808081,0.01055662,-0.02371542,0.00518135,0.01047486,0.00760608,-0.00579151,0.01796945,-0.00374732,-0.00051467
2018-50,0.0127679,0.00091491,-0.01048297,-0.01088467,-0.01037096,-0.01011698,0.23600973,-0.00920661,-0.01067861,-0.00713436,-0.00418177,-0.02671262,0.0,0.00619515
2018-49,0.0045683,0.0,-0.00074432,0.00230309,0.00119142,0.00094637,0.02159468,0.00458963,-0.00068681,-0.0023678,-0.00502934,-0.00762066,0.0,0.00077519
2018-48,0.03033175,-0.03237251,-0.00992647,-0.01359619,-0.01638705,-0.0009428,0.00124844,0.0,-0.01387009,-0.00626714,0.01649602,-0.01612903,-0.00823469,-0.00103681
2018-47,0.0014171,-0.01999131,0.00259067,0.00637523,0.00711462,-0.00562324,0.0079698,0.00298994,0.00375683,0.00039262,-0.0036071,-0.00083822,-0.0167004,-0.00615542
2018-46,0.0,0.0,-0.00110701,-0.00592525,-0.00550314,-0.00031387,0.0,-0.00897959,-0.0023948,-0.00117739,-0.00441014,-0.03271984,0.0,-0.00509424
2018-45,-0.00983146,-0.00222321,-0.00036805,0.00456308,-0.00391543,0.00566038,0.00534759,-0.00027345,0.00307482,-0.00039139,0.00416204,0.001228,0.0,0.00257003
2018-44,0.00908656,0.0049151,-0.00036697,-0.00248756,0.0007837,0.00250784,0.0307887,0.00440044,-0.00169722,-0.00156128,-0.00525442,-0.00766438,0.0,0.01505321
2018-43,-0.02885063,0.00090785,0.0062777,0.01586937,0.0031746,0.00981634,0.0,0.00608744,0.01202336,0.00391389,-0.0074565,0.01022495,0.0,-0.01437372
2018-42,0.01908397,-0.07436975,-0.00732064,-0.00867184,-0.00980777,-0.00409062,-0.01659063,-0.00027663,-0.01153324,-0.00351014,-0.00083287,-0.0277118,0.0,-0.00358423
2018-41,0.02000976,0.06344951,0.0007326,-0.00295791,0.004329,-0.00219849,-0.01752241,-0.0049765,-0.00033921,-0.00155642,0.00055617,-0.00118064,0.0,0.00128436
2018-40,0.01491054,0.0,-0.00980036,-0.00943396,-0.00858369,0.00347771,-0.00603136,-0.00550812,-0.0097479,-0.00271634,0.0002777,-0.02149712,0.0,-0.01292121
2018-39,0.00299551,0.00268817,-0.00397686,-0.01371985,-0.00962649,-0.00189036,-0.00837321,0.00055112,-0.01029216,-0.00501543,0.00140135,-0.01366224,0.0,0.00101343
2018-38,0.0085213,0.0,0.00289436,-0.00110448,0.0,-0.00125747,0.02486751,0.00248619,0.00166113,0.00115875,-0.00307348,-0.00191278,-0.00798005,0.00408267
2018-37,-0.02364532,0.01597161,0.00398551,0.00776742,0.00814901,-0.00094458,-0.02192982,0.00027624,0.005998,0.0011592,0.00280269,0.01601563,0.0,-0.00585391
2018-36,-0.009355,-0.00748569,0.00181225,0.00245207,-0.00462963,0.00826446,0.00753968,-0.0005534,0.00535117,0.00116009,-0.00336511,0.00629178,0.0,0.02193318
2018-35,0.00745898,0.0,-0.00181028,-0.00861117,0.0,-0.00126944,-0.01176471,0.0047196,-0.00697443,-0.0015456,0.00647523,-0.00665623,-0.00594943,-0.0070922
2018-34,0.01009082,0.0,-0.00036193,-0.00527357,0.00582072,0.00158629,0.01484156,-0.00194175,-0.00165453,-0.00077131,-0.00865197,-0.003861,-0.00049554,0.00744735
2018-33,-0.01135802,0.0,0.00400146,0.00555679,0.0,0.00605481,0.00402739,-0.00110834,0.00433478,0.00310078,-0.00027863,0.01493711,0.00447984,0.0085448
2018-32,0.01551552,0.0,0.0003639,-0.00111185,-0.00501931,0.00384862,-0.01193792,0.01405284,0.00033434,0.00116414,0.00223651,-0.00665102,-0.01712329,-0.00515464
2018-31,-0.00050025,0.0,-0.00036337,0.00199689,-0.00422914,0.00225008,0.01575758,-0.00419815,-0.00166279,0.00077489,-0.00055882,-0.00923432,0.0,0.00128833
2018-30,0.01566448,0.0,-0.00036377,-0.00551633,-0.00153551,-0.00064061,-0.00886025,-0.00611961,0.00166445,0.0003876,-0.00911099,-0.00230061,0.0,-0.00129232
2018-29,-0.00201511,0.0,-0.00072648,0.00022124,0.0,0.0057971,-0.0068,0.0,0.002331,0.00077519,0.00028082,0.01125776,0.0,0.00415045
2018-28,0.00050403,-0.00301205,0.00072727,0.00578292,-0.00461007,-0.00193299,0.03177879,0.0069891,0.00099967,0.0,-0.00531469,0.00077549,0.0,0.00051948
2018-27,0.00965447,-0.01940928,0.0,0.00110791,0.0,0.00096681,-0.00899796,0.00336606,0.00066622,0.0,-0.00445558,-0.01327266,0.0,0.00779828
2018-26,0.0,-0.00084317,0.00586081,0.00694911,0.00309478,0.00486697,-0.01174089,0.00883191,0.00604433,0.0050702,0.00111669,0.01355538,0.0,-0.00544323
2018-25,0.00960566,-0.00128977,0.00146359,-0.0015625,-0.00462072,-0.00065083,-0.01970245,-0.01900503,0.00033546,0.00155703,-0.00166574,0.01198763,0.0,0.00812369
2018-24,0.01140487,-0.03244592,-0.00072913,-0.00243363,0.00657132,0.00129997,-0.02306489,0.01102006,-0.00464499,-0.00077549,0.00896108,-0.00115075,0.02302302,-0.00104712
2018-23,0.02168165,0.0,0.00109409,-0.00352113,-0.01784358,0.00325839,-0.01164144,0.00171233,-0.00231635,0.0023301,-0.00500695,-0.02184557,0.0,-0.00366013
2018-22,-0.00887728,0.0,0.00036483,-0.00285338,0.00381098,0.00097656,0.00348972,-0.00994883,0.00298904,0.0007761,0.00167177,0.0083682,0.0,-0.00286533
2018-21,-0.00052138,0.0,0.00366703,0.00554939,0.0,-0.00162338,0.01129723,0.0129571,0.00366911,0.00116732,0.00083542,0.01379839,0.0,-0.00310238
2018-20,0.01818182,0.0,-0.0010985,-0.00176484,0.0,0.00521342,-0.00538669,-0.00057554,0.00033278,0.00155824,0.00166574,-0.02017183,0.0,-0.00668552
2018-19,-0.01004228,0.00376412,-0.00073314,0.00022085,-0.0030453,0.00196271,0.00891473,-0.00230282,-0.00299202,-0.002331,0.0,0.00037566,0.0,0.00412477
2018-18,-0.00832033,-0.03080665,0.00478293,0.00622499,0.0,-0.00556829,0.01937525,0.00724848,0.00668896,0.00311891,-0.00360111,0.01680672,0.0,-0.00233161
2018-17,0.00051894,0.0,0.00110497,0.00022247,-0.00229973,-0.01007147,0.0,0.0,0.0,0.00117233,-0.00742983,0.00421456,0.0,0.00155763
2018-16,0.00576218,-0.01516966,-0.00073611,-0.0011121,0.00192012,0.00425114,-0.02698535,0.00144092,0.00066957,-0.0011705,0.00469095,0.00230061,0.02597403,-0.00544041
2018-15,-0.00469239,0.0,-0.00183486,-0.00066726,-0.00268199,-0.00195503,0.01842415,0.0,-0.00399734,0.00038956,-0.00137779,0.0073246,0.0,0.00286086
2018-14,-0.01752577,0.02495908,0.00184094,0.00626819,0.00346021,0.01121002,0.00750395,0.0,0.00603419,0.0019516,0.00193477,0.01852582,0.0,0.00627451
2018-13,0.00206186,0.01242751,0.0014771,0.00269724,0.00192604,-0.01108937,-0.00197083,-0.00517241,0.0,0.0027451,0.00221178,0.00558214,0.0,-0.00340136
2018-12,0.02224576,0.0,-0.00330518,0.00067009,0.0,-0.00453368,-0.01476301,0.0,0.0,-0.00467108,0.00724032,-0.0003951,0.0,-0.00313316
2018-11,0.01655099,-0.0212766,0.00036778,-0.01267512,-0.01670463,0.00097561,0.00901607,0.0,-0.0146228,-0.00466926,0.00446803,-0.00159172,0.0,0.01079231
2018-10,0.01079914,-0.02313725,-0.00292612,-0.00331638,-0.00075873,-0.00741457,0.0,-0.00143184,-0.00231405,0.0,0.00279877,-0.00392465,0.0,0.0
2018-09,-0.00911528,0.0,0.00331004,0.00690885,0.00038285,0.00290229,0.02109873,-0.00710833,0.00766667,0.00077791,-0.00334262,0.00433754,0.0,-0.00339603
2018-08,0.00484392,0.0,-0.00658858,-0.01235112,0.00647619,-0.00893997,0.0,0.0,-0.00992063,-0.00543057,-0.00388673,-0.02671312,0.0,-0.01138716
2018-07,-0.00268384,0.0,0.00257542,0.00066519,0.00229095,-0.00318878,0.00558659,0.0,0.00299401,-0.00038941,-0.00415512,0.00866483,0.0,0.00442478
2018-06,-0.00532765,-0.01279566,0.00591497,0.01029543,0.00653093,0.00449438,0.00400641,-0.00678733,0.00871314,0.00468933,-0.00550964,0.01922307,-0.01079137,0.01290153
2018-05,0.00106667,-0.00232108,-0.01106195,-0.01115076,-0.01372998,0.00128659,-0.01199041,0.0,-0.0066912,-0.00933126,0.0005499,-0.02365931,-0.00102669,-0.01933987
2018-04,0.00760043,0.01669903,-0.00729395,-0.01155187,-0.0070632,-0.00788146,0.00803536,0.0,-0.01080196,-0.0050077,-0.00192097,-0.02706767,0.0,-0.00332992
2018-03,0.00597177,-0.01245283,0.00255661,0.006139,0.00410601,0.00125945,0.00524194,-0.00308123,0.00557377,0.0030888,-0.00354997,0.00791258,-0.00101937,0.00102223
2018-02,0.00108519,0.01741486,0.00036617,0.00683271,0.00187617,0.01239669,0.0,0.00591716,0.00296932,0.00232378,-0.00409612,-0.0030326,0.0,0.00102512
2018-01,-0.0281765,-0.00793951,0.00294334,0.00308438,0.0022531,0.00894569,0.00575421,0.0,0.00463423,0.00077519,-0.0010923,0.01108139,0.0,0.00773994
2018-00,-0.00947867,-0.00927716,-0.00110579,0.0062098,0.00681818,0.00288647,0.01040366,-0.0027972,0.00700467,0.00349379,-0.00081855,0.00924855,0.0,0.00414508
2017-52,0.01265823,0.0265873,-0.00036928,0.00022242,0.0,0.00258314,-0.0008316,0.0002798,0.00134093,0.00233463,0.00327154,0.01020809,-0.001998,-0.00025853
2017-51,-0.01875,0.05020408,-0.00331248,0.00022262,0.00038139,0.00681155,-0.00619835,0.00084034,-0.00066979,-0.0015534,0.00354997,0.01077844,-0.0024975,0.00654108
2017-50,0.00729927,0.01008065,-0.0011066,0.00111757,0.00381971,-0.00357491,-0.00779008,-0.00729313,0.0013468,0.00038911,-0.00163711,0.00040225,-0.0137931,0.00026164
2017-49,-0.0005211,-0.01532258,-0.00221893,-0.00044693,-0.0007657,-0.00711284,0.01536545,0.00905746,0.00067385,0.00077882,-0.00380745,-0.00561798,0.01754386,0.00394841
2017-48,-0.00466321,0.00664452,-0.00258112,-0.00156041,-0.00343905,0.00129912,-0.01962355,-0.0053491,-0.0003367,-0.003885,0.0091135,0.00888171,0.00554435,0.00315126
2017-47,0.00051894,0.0,0.00334076,0.00379803,0.00344432,0.00129492,0.00160449,0.0011274,0.00541455,0.00273544,-0.00385356,0.01178862,0.01069791,0.00289321
2017-46,0.0107582,-0.02687061,0.00111441,0.00022442,-0.00191278,0.00455285,0.0048583,-0.00028177,0.00033887,0.00234926,-0.00576132,-0.00363783,0.0,-0.00288714
2017-45,0.01244813,-0.01985413,-0.00074322,-0.00535236,-0.00419048,-0.00484496,0.01222494,0.0005677,-0.00371371,-0.00234283,-0.00055006,-0.00360288,-0.00708144,0.0
2017-44,0.002079,-0.00443727,0.0,0.00560287,0.00152964,0.00129199,0.0,0.0,0.00169033,0.00078156,-0.00219599,0.00773616,0.0,0.00554236
2017-43,-0.01438849,0.01035857,-0.00111607,0.00134258,0.0,0.00356333,0.00789364,0.00028401,0.00033875,-0.00117325,-0.00164069,0.0012285,-0.02418559,0.00584174
2017-42,0.00103466,-0.00796813,-0.00111441,-0.00111782,-0.00152788,0.00389484,0.02085106,-0.00592885,-0.00101488,-0.00039078,0.00467804,-0.00648824,0.0,-0.00132591
2017-41,0.0057232,-0.00396825,0.00260708,0.00269119,0.00115252,0.00619902,0.0,0.0,0.00339559,0.00392003,-0.00574555,0.01692816,-0.00049334,0.00482186
2017-40,-0.00104167,0.0,0.00074516,0.00337458,0.00502707,-0.00517464,0.00042571,0.00283126,0.00374787,0.00117786,-0.00299564,-0.00247423,-0.0136253,-0.00107152
2017-39,-0.02145046,0.00961538,-0.00111857,0.00270758,-0.0007728,-0.00064872,0.00213311,-0.00225989,0.00239316,0.00353357,-0.00027233,-0.00776778,0.0347432,-0.0053135
2017-38,-0.00958144,0.00281124,-0.00148865,0.00271125,0.0007734,-0.00518303,0.02582057,-0.00673401,0.00034153,-0.00078647,0.00110011,-0.00164541,-0.01585728,0.00508293
2017-37,-0.00843254,0.02579853,-0.00185667,-0.0002265,0.00116279,0.0035819,-0.00738488,0.00224341,-0.00068259,-0.00117832,0.00137855,0.00453795,0.0025227,-0.00426667
2017-36,0.00597907,-0.02241793,0.0,-0.00136147,-0.00038805,-0.00130293,0.0,0.00196684,0.00102775,0.00039308,0.00219962,0.00957137,0.0010101,0.00401177
2017-35,-0.01385453,0.00080128,0.00149031,0.00113714,0.00428683,0.00327547,0.00558179,0.0036661,0.00653145,-0.00039386,-0.00602575,0.01176965,0.00507614,0.00133761
2017-34,-0.0155642,-0.00240481,0.00074516,0.00457143,0.00390625,0.00427491,0.00735294,-0.00254094,0.0024113,0.00236967,-0.00027382,0.01449893,-0.0010142,0.0045491
2017-33,0.01085884,-0.00517516,-0.0018615,-0.00137018,-0.00077973,-0.00394089,0.0,0.00542547,-0.00068894,-0.00197083,-0.0008235,-0.00424268,0.0,0.00457851
2017-32,0.01097257,-0.00078895,0.00186846,-0.00929916,-0.00389257,-0.00262037,0.0,-0.00906002,-0.00856458,-0.00314713,0.00191676,-0.01424979,-0.00298954,-0.00295064
2017-31,0.00804424,0.0090981,-0.00149142,-0.00113636,0.00195008,-0.00810898,0.00921457,0.0,0.00068658,0.0,-0.0019084,-0.00544389,0.0,-0.00053619
2017-30,0.00506073,-0.02345582,0.00037341,-0.0011343,0.00039017,0.00454989,0.0,0.00369318,0.00206256,-0.00039324,0.0,0.01409052,0.00587372,-0.00639488
2017-29,0.00253421,-0.00547089,0.00224551,-0.00203851,0.00195618,-0.00130166,-0.00998697,-0.0025503,0.00309704,0.00236686,-0.00301452,0.00428082,0.00097943,-0.00345377
2017-28,-0.00757193,-0.0150347,0.00375657,0.00776433,0.00787712,-0.00194868,0.02629234,0.0,0.00692042,0.00197394,-0.0032769,0.01434159,0.00048996,-0.00026582
2017-27,-0.00451581,-0.01052632,0.0,-0.00364548,-0.00470404,0.00129997,0.0,0.0,-0.00207756,-0.00118343,0.00054496,-0.01637931,-0.00244738,0.00346205
2017-26,-0.01531621,0.02777778,-0.00261976,-0.00544465,0.0,0.00490356,-0.00221828,0.01312785,-0.00654045,0.0,0.0,0.0104941,0.0,-0.01050972
2017-25,0.00247647,0.00598325,-0.00074822,-0.00295993,0.00078585,0.00327976,-0.00392328,0.0,-0.00068966,-0.00039463,-0.00599782,-0.00608431,-0.00587084,0.00555703
2017-24,0.01501502,-0.01960784,-0.00224299,-0.0022779,-0.00156924,0.00065833,0.0,0.0,-0.00034614,-0.00039463,-0.00298994,-0.00733391,0.0,-0.00369101
2017-23,-0.02347188,-0.02688391,0.00037425,-0.00182108,-0.00078401,-0.00263071,-0.00086881,-0.00369213,0.00103806,0.0011839,0.0071311,0.00172414,-0.00097752,-0.00811306
2017-22,-0.0048852,-0.02926058,0.00187336,0.00319708,0.00512821,0.00529276,-0.0004363,0.0,0.0069541,0.00078864,-0.0010917,-0.001287,-0.01396245,0.00393494
2017-21,0.0109127,0.0,0.00037509,0.00274474,0.00157978,0.0,0.01281485,0.0,0.0034904,0.00078989,-0.00408163,-0.00806109,0.0,0.0002611
2017-20,0.01413428,0.0,0.00225649,-0.00228206,0.00197863,0.00199137,-0.00220459,0.0,-0.00382609,0.00197707,0.00135685,0.0137931,-0.01849218,-0.00803317
2017-19,0.00554715,0.0,-0.00037594,0.0016022,0.00517104,0.0,0.00665484,0.0,0.0027972,-0.00039557,-0.00135281,0.00609756,0.0,0.00467532
2017-18,-0.00601504,0.00079145,-0.00075131,0.00459559,0.00079491,-0.00462351,-0.00397878,0.00028612,0.0,0.00158479,-0.00377358,-0.01073422,-0.00426136,-0.0012987
2017-17,-0.0045,-0.04244032,-0.00112528,0.00575506,0.00640256,0.00033014,0.02309783,-0.00623936,0.00139958,0.00079271,0.0,-0.00812313,0.0,0.00130073
2017-16,-0.0103909,0.0,0.0,0.00393154,0.00040032,0.00099272,-0.00090498,0.00829519,0.0,0.0019857,-0.00241481,-0.01103565,0.00426136,-0.00541516
