Month,ADRD,ADRU,DBGR,DFE,EDEN,EFNL,EIRL,ENOR,EPV,EUFN,EWD,EWG,EWGS,EWI,EWK,EWL,EWN,EWO,EWP,EWQ,EWU,EWUS,EZU,FDD,FEP,FEU,FEZ,FGM,FKU,FSZ,GREK,GXF,HEDJ,IEUS,IEV,NORW,UPV,VGK
2019-05,-0.03464203,-0.03740065,-0.03792342,-0.04917492,-0.04090554,-0.05108359,-0.04465525,-0.04423381,0.08959538,-0.0627572,-0.06549671,-0.04648724,-0.05839161,-0.06735567,-0.05465055,0.00055432,-0.05046017,-0.07234043,-0.03733602,-0.04855002,-0.04343919,-0.06089744,-0.04842314,-0.05026657,-0.05842885,-0.02657219,-0.04129639,-0.03837155,-0.0568517,-0.02476533,0.05938242,-0.04770814,-0.04107143,-0.05684411,-0.03873712,-0.04426877,-0.09897959,-0.04035469
2019-04,0.01204819,0.00564972,0.05729772,0.02920324,0.00957915,-0.00584944,0.02928571,0.00983865,-0.04798762,0.0532831,0.04340784,0.05494505,0.04083485,0.00819672,0.02907916,0.01685393,0.04856293,0.04940711,0.03094911,0.03622945,0.00926756,0.03303685,0.03630785,0.02318393,0.01978519,0.02154399,0.04161038,0.02913085,0.02950014,0.02430556,0.02040816,0.01547842,0.04302899,0.03201249,0.02435693,0.00551615,0.04709141,0.02577794
2019-03,0.0089877,0.01357247,-0.01089918,-0.02061683,0.01448109,-0.02420575,-0.00620673,-0.00436681,-0.00481638,-0.03711559,-0.00428336,-0.02463768,-0.0096786,0.01720351,0.00217865,0.01579552,0.00302013,-0.01826259,-0.01717623,-0.00371873,0.01164572,-0.01321474,-0.00669068,0.0,-0.00514727,0.01752768,-0.00054645,-0.02875324,-0.0126753,0.006484,0.005,-0.00047348,0.00804416,-0.00922111,0.00439815,-0.00873016,-0.01360985,0.00055991
2019-02,0.02962603,0.02841476,0.02796919,0.02384267,0.03449425,0.01841621,0.02647204,0.01688782,-0.05788591,0.04446915,0.00970874,0.01827676,0.01241301,0.04583975,0.01409245,0.04157879,0.04219409,0.0044955,0.02538787,0.03893805,0.0306962,0.04109955,0.03049759,0.01186709,0.01826753,0.03717949,0.03121453,0.00240964,0.03684951,0.01172458,0.07797538,0.01257253,0.03671242,0.02696629,0.03023758,0.01610306,0.05341384,0.03040868
2019-01,0.06439979,0.05857295,0.06003431,0.08718626,0.03861682,0.07624965,0.07684012,0.07466552,-0.14089595,0.06816835,0.07382067,0.06478537,0.10275533,0.08364389,0.088,0.06521739,0.07882711,0.08833152,0.06661705,0.07074933,0.07364473,0.10792431,0.07050731,0.0693153,0.10353781,0.05380711,0.06416465,0.104378,0.12180499,0.0834291,0.07320644,0.05524297,0.06481809,0.09489864,0.06964791,0.07081174,0.14686998,0.07281048
2018-12,-0.06820365,-0.06421105,-0.07466243,-0.05988341,-0.02955244,-0.03159902,-0.07336004,-0.09816191,0.1257931,-0.07880435,-0.04979812,-0.0707478,-0.0854052,-0.05650818,-0.07943662,-0.06050671,-0.07751666,-0.10569898,-0.05363444,-0.05957447,-0.0547504,-0.05828221,-0.06531592,-0.04424779,-0.06636501,-0.05811369,-0.06030578,-0.08209501,-0.05369327,-0.05252918,-0.10621762,-0.02917903,-0.06726161,-0.07360825,-0.0611951,-0.0963195,-0.11678322,-0.05971601
2018-11,-0.01438159,-0.01826259,-0.01231136,-0.04122658,-0.01489758,-0.04782147,-0.05851445,-0.0603901,0.0392047,-0.02262931,-0.02116224,-0.02753623,-0.04512802,-0.00555335,-0.00677201,-0.00539084,-0.00492438,-0.03729934,0.01120752,-0.02306886,-0.0311811,-0.06881214,-0.01880795,-0.00080192,-0.05200465,-0.01140323,-0.01525424,-0.04202279,-0.06285073,-0.03909072,-0.00945946,-0.00691358,-0.00729685,-0.05749852,-0.01716738,-0.06586826,-0.00696217,-0.02270104
2018-10,-0.06488203,-0.06585708,-0.0615727,-0.08810433,-0.1037106,-0.09298929,-0.07811448,-0.09112792,0.17725966,-0.08324924,-0.10275229,-0.08862876,-0.10756838,-0.08879882,-0.09176717,-0.04693349,-0.08139535,-0.07481186,-0.06503785,-0.0941704,-0.06684652,-0.10404065,-0.08874724,-0.04566563,-0.11344538,-0.06125528,-0.08226018,-0.11096774,-0.08660174,-0.08515241,-0.0669145,-0.08751139,-0.05984252,-0.103442,-0.07669946,-0.09478022,-0.15509804,-0.07970493
2018-09,0.01761706,0.04212542,-0.00335696,-0.00206809,-0.028252,0.01220405,-0.02028353,0.06217996,-0.01813067,0.01268392,0.03144654,-0.0050184,-0.04170724,0.00589319,-0.01038422,0.00521588,-0.01861528,0.0026643,-0.0054757,0.02425434,0.02329145,0.00121892,0.00393798,0.00775795,0.00315706,0.01561065,0.01170524,-0.03096234,0.02504713,-0.02370856,-0.00246609,0.01378676,0.0001582,-0.00976315,0.01175938,0.06764706,0.01030315,0.008901
2018-08,-0.03290351,-0.03656307,-0.01952984,-0.02264325,0.00297885,0.00970167,-0.01287001,-0.01331893,0.0410596,-0.05084746,-0.01270924,-0.02672247,0.00387097,-0.07407407,-0.0385566,0.00520382,-0.01967629,-0.03887228,-0.04983713,-0.01687361,-0.03183024,-0.02001413,-0.02589689,-0.02048558,-0.0183908,-0.0328735,-0.0362668,0.00394027,-0.02557479,0.01832716,-0.05654102,0.00137741,-0.02535125,-0.00888573,-0.02364791,-0.01440922,-0.06524512,-0.02150917
2018-07,0.04623209,0.04510921,0.04480422,0.01733562,0.06455676,0.01336634,0.00106701,0.02646086,-0.08645003,0.05159332,0.06633663,0.04961448,0.05545224,0.04278642,0.03895438,0.06966708,0.04501821,0.06001805,0.04380054,0.04536424,0.02140309,0.01429252,0.04337112,0.03175833,0.04594954,0.05274456,0.04832321,0.0602357,0.00282776,0.03885645,0.01791713,0.05534167,0.04061558,0.02452762,0.04402088,0.02437223,0.08481613,0.04234349
2018-06,-0.01356239,-0.01403181,-0.03272727,-0.03744757,-0.02571953,-0.02741359,-0.01338632,0.00439883,0.03673602,-0.03536822,-0.02650064,-0.03508207,-0.04465146,-0.02161235,-0.01161616,-0.00942536,-0.02064516,-0.02444347,-0.00201072,-0.02939297,-0.01845444,-0.02363299,-0.02346181,-0.01592115,-0.0317662,-0.01587777,-0.01983514,-0.06168301,-0.02840353,-0.01970347,-0.02516411,-0.01782364,-0.02032583,-0.02628351,-0.02073682,0.00220103,-0.0473251,-0.02074468
2018-05,-0.01701747,-0.01746324,0.00478998,-0.02055301,-0.01413804,-0.00643777,0.03436352,0.0077634,0.03652058,-0.08141113,-0.00641849,-0.02184236,-0.00784251,-0.09348707,-0.02764067,-0.01933535,-0.01884984,-0.05323979,-0.07641716,-0.02298489,-0.00115976,0.00023175,-0.03285947,-0.03733529,-0.00535305,-0.02418879,-0.04234122,-0.01334681,0.02273301,0.00078911,-0.14697406,-0.01032379,0.00251375,-0.00507703,-0.02111909,0.00666667,-0.02736228,-0.01877193
2018-04,0.03505535,0.04038005,0.05234587,0.0269289,-0.01483813,0.04795031,0.01998243,0.05677868,-0.07830393,0.0320483,-0.00412567,0.02855289,0.0214425,0.06017757,-0.01359223,0.00362647,0.01811711,0.0070277,0.03509337,0.05494869,0.05445695,0.04412829,0.03685859,0.05210728,0.02872063,0.03646308,0.04883117,0.03397555,0.04770691,0.00472906,0.12405609,0.00186829,0.04938068,0.02863791,0.0351939,0.05508146,0.0969744,0.03503702
2018-03,0.00502742,0.00374707,0.00614203,0.00389396,0.01933827,-0.00049225,0.01495821,0.01768551,-0.01644009,-0.0258467,-0.0003126,0.00708079,0.00968836,0.01746869,-0.0178992,0.00209143,0.01491086,0.01239669,-0.00063613,0.0,0.01342282,0.01231587,0.00501433,0.00609292,0.02210526,0.00784077,0.00410994,0.01507953,0.01187648,0.00626346,-0.06237624,-0.00547695,0.00905052,0.01077006,0.00757238,0.01,0.01966717,0.00754175
2018-02,-0.06049069,-0.0511811,-0.03238575,-0.05336329,-0.00755108,-0.02335558,-0.06759525,-0.03609576,0.12160695,-0.06252588,-0.06682028,-0.06550605,-0.0505988,-0.07192929,-0.04906334,-0.06323893,-0.0566152,-0.06525912,-0.08183921,-0.0557086,-0.06698565,-0.06396926,-0.06240319,-0.04758472,-0.05600391,-0.06910908,-0.06919431,-0.0679024,-0.04556711,-0.05761913,-0.10615522,-0.04400345,-0.0359656,-0.05352961,-0.06355757,-0.03763838,-0.12840654,-0.06290564
2018-01,0.03961268,0.0438914,0.02576197,0.0349978,0.0256103,0.05035038,0.0131744,0.04913522,-0.09332024,0.0782726,0.05424456,0.05232379,0.05499368,0.10302618,0.07692308,0.04074605,0.0524968,0.0677406,0.07495315,0.06520315,0.02806713,0.03240197,0.06472951,0.05559787,0.05411704,0.04596704,0.06488261,0.04831394,0.04646306,0.05628373,0.07835455,0.04572205,0.03604183,0.04714989,0.04787695,0.05209155,0.10757468,0.04932657
2017-12,0.01763908,0.02622951,0.0065241,0.03034925,0.03218284,0.01488966,0.03992979,0.02815177,-0.03892868,0.01706642,0.00309789,0.0046729,0.03146216,-0.00814388,0.00834971,0.01283547,0.01768173,0.03207629,-0.00094637,0.00461894,0.04484442,0.04393977,0.00357398,0.00616333,0.02688172,0.0126545,-0.00579783,0.01820388,0.03789531,0.01511879,0.11928651,0.01671309,-0.00432138,0.03190319,0.01482957,0.03040263,0.03974122,0.01956561
2017-11,0.00820046,0.00374007,-0.02520126,-0.0078633,-0.02400362,-0.00550459,-0.00525509,-0.04741379,-0.00250313,0.00645161,-0.03223881,-0.00338566,0.01812993,-0.00369997,-0.01358564,0.01880597,-0.0042153,0.00699301,-0.00498287,0.00032808,0.00427873,-0.00269806,-0.00517891,0.00463679,-0.00426439,0.00294551,-0.00892414,0.02790986,-0.00646552,0.00714853,-0.03111111,-0.02699055,-0.03141361,-0.00146628,-0.00066123,-0.04581359,-0.00695589,0.00053658
2017-10,0.00921659,0.00093721,0.02843602,0.0004542,0.00695179,-0.02442159,0.01108156,0.00556881,-0.0126778,-0.00593878,-0.00590842,0.02220812,0.01601909,-0.01004352,0.0083211,-0.01520023,0.00915332,0.01871658,0.02096569,0.01801201,0.00858369,0.02268145,0.0148503,0.00464396,0.01657158,0.00473093,0.01283988,0.02627644,0.02364586,0.00658814,0.00339751,-0.01594331,0.02391132,0.0122177,0.00709692,0.00079872,0.01326455,0.00756076
2017-09,0.03031739,0.02995169,0.05452436,0.03306816,-0.00015119,0.01349598,0.04706968,0.03145425,-0.05791167,0.03469292,0.03068044,0.05123087,0.05057389,0.03062629,0.02664656,0.02243494,0.02309237,0.01767906,0.0,0.03693476,0.02507837,0.04077365,0.03330866,0.03772071,0.02959241,0.03598658,0.03777025,0.03732332,0.01933857,0.02607987,-0.07471853,0.01624549,0.0420182,0.0345948,0.02868852,0.03204601,0.05676941,0.03014053
2017-08,-0.01724138,-0.01944049,-0.014198,-0.00592824,0.031602,-0.00672878,-0.00486562,0.01714047,0.01117976,-0.03224342,0.0095326,-0.00761589,0.02565522,0.01330998,-0.01095072,-0.00976043,-0.00632701,-0.00090909,-0.01809261,0.00452174,-0.01489296,-0.01931496,-0.00197433,-0.01577287,0.00168587,-0.01028122,-0.00493891,0.01896591,-0.01806057,-0.00020309,-0.01701702,0.01328447,-0.01102881,-0.00306337,-0.00567151,0.01851852,-0.01817127,-0.00497696
2017-07,0.02455465,0.02155806,-0.02719033,0.05206789,0.04907574,0.0130008,0.01964497,0.10667904,-0.05342466,0.04351985,0.00497977,0.0138936,0.07117296,0.0608436,0.065356,0.0038806,0.06434412,0.07824803,0.03512133,0.02397138,0.02365729,0.04177971,0.03126602,0.01694915,0.04338843,0.01479655,0.03018054,0.03519131,0.04307061,0.02002921,-0.00409417,0.02496467,-0.01227295,0.05053352,0.02620496,0.10531221,0.05099092,0.02840801
2017-06,-0.00671141,-0.00970874,-0.02374768,-0.01243339,0.0027933,-0.00765576,-0.00951276,-0.01471941,0.02042529,0.02028699,0.01103057,-0.00940544,-0.02362052,0.00226501,-0.02578649,-0.00089526,-0.01365068,0.00842001,-0.00858233,-0.01306036,-0.0225,-0.02897787,-0.01291139,-0.02055336,-0.01537123,-0.01281269,-0.01515957,0.00071124,-0.03122339,-0.00870827,0.05921053,-0.00094473,-0.03713696,-0.01222157,-0.01179736,-0.01295097,-0.02913211,-0.01186664
2017-05,0.03801901,0.04861822,0.00978916,0.03718729,0.04989532,0.05827175,0.03359299,0.02525012,-0.08564932,0.02345742,0.02074554,0.0385289,0.08098964,0.04893702,0.04062839,0.04706621,0.04267844,0.07646742,0.04076898,0.04460967,0.04470743,0.01104228,0.04283054,0.06514382,0.04023164,0.05048232,0.03944444,0.05133367,0.01799187,0.04975993,0.0626506,0.04536391,0.00321337,0.03461776,0.0429716,0.03079885,0.08464786,0.04498613
2017-04,0.02257568,0.03548729,0.01459293,0.06760921,0.08065735,0.07525237,0.05750387,0.00239006,-0.088336,0.05920695,0.05695547,0.03389213,0.06230248,0.03677392,0.03425042,0.03994761,0.0476929,0.07433217,0.05851251,0.05973101,0.02323232,0.08265187,0.04651163,0.03524229,0.06306892,0.03305509,0.04434072,0.0400527,0.06462585,0.05608343,0.07058824,0.06001062,0.03488566,0.06886625,0.03979721,0.00192864,0.09291606,0.04317144
2017-03,0.01081917,0.0164806,0.01993745,0.0280112,0.0283729,0.03148615,0.00645661,-0.03113383,-0.0669105,0.03732591,0.02708407,0.02998501,0.042359,0.07142857,0.03613054,0.02208096,0.04032258,0.02325581,0.0915681,0.05014505,0.01529052,0.01979321,0.0458796,0.02144772,0.03279786,0.03684573,0.04782211,0.02427839,0.02324851,0.02559242,0.00794702,0.01990317,0.03551724,0.02679382,0.03151862,-0.02532833,0.06489525,0.03332621
2017-02,0.01372756,0.02369146,0.01292929,-0.00318531,-0.0175606,0.00255836,0.01006356,-0.03743798,-0.0052356,-0.03514552,-0.01233263,-0.0030326,0.0078853,-0.00314465,-0.00235571,0.00987402,0.0272651,-0.01674641,-0.00155461,-0.00626043,0.00999655,0.00178359,0.00029682,0.00180343,-0.00438449,0.00630694,0.00217256,-0.00136761,-0.00094907,0.01481302,0.00958904,-0.01342642,0.03359971,0.0043618,0.00317209,-0.03727273,0.00688924,0.00281446
2017-01,0.01396348,0.01391982,0.00203749,0.03540689,0.05112599,0.00290604,0.02852441,0.04506232,-0.051884,0.01805869,0.05418535,0.03789972,0.05088161,-0.03089643,0.01625527,0.03929204,0.02408602,0.03974763,0.02375297,0.01442512,0.02050194,0.0373599,0.01908513,-0.00361991,0.04069356,0.01899642,0.01452479,0.04232199,0.03171457,0.04090447,-0.05729167,0.04171364,-0.01171593,0.03499521,0.02417821,0.04339441,0.05037573,0.02606952
2016-12,0.0381808,0.04161782,0.08894879,0.0518595,0.04943291,0.04826649,0.04165478,0.01773399,-0.09674009,0.05018138,0.04771293,0.07336726,0.05144524,0.11160059,0.04140527,0.04607952,0.05015816,0.02697368,0.07685665,0.05503356,0.03374908,0.00692259,0.06673145,0.05480769,0.0375829,0.05786068,0.07191316,0.06113139,0.02767465,0.02954248,0.00948509,0.05056514,0.08341569,0.05040323,0.05334098,0.01992032,0.0950046,0.05098684
2016-11,0.0,-0.00699301,0.00848593,-0.02111246,-0.06170128,-0.02621971,0.01148765,0.0,0.03855333,0.02119701,0.00236593,-0.03418803,-0.05592841,-0.0264805,-0.0405486,-0.0259086,-0.03414002,-0.01750973,-0.0778754,-0.020605,0.00516987,0.02,-0.03456867,-0.01415094,-0.00912742,-0.02042332,-0.03115776,-0.04946793,0.00370246,-0.00671835,0.10565476,-0.02434783,0.00137013,-0.02046856,-0.02047686,-0.00601805,-0.06262568,-0.01932367
2016-10,-0.02877307,-0.032493,0.01338688,-0.03840905,-0.04258526,-0.0674505,-0.04911805,-0.00742207,0.06587771,0.03917791,-0.05631715,-0.0096,-0.03482824,0.03097345,-0.04542873,-0.04810997,-0.02145562,0.00912647,0.02817477,-0.00174292,-0.0523195,-0.08230088,-0.00615764,-0.02125693,-0.03092059,-0.03080229,-0.0022779,-0.01847704,-0.07089319,-0.0315179,0.01037037,-0.06019523,0.01056131,-0.05946321,-0.03032765,-0.00895522,-0.05381897,-0.03322259
2016-09,0.00054025,-0.00612472,-0.00133215,0.00353288,-0.01893382,0.02217295,-0.03337714,0.06082853,-0.00961727,-0.0225,0.01204819,-0.00119379,0.01636189,-0.0307474,0.02905288,0.00969193,0.00210438,0.02811245,-0.00040634,0.0021777,-0.00173974,-0.01200234,0.0,-0.00641026,0.00352485,-0.00178317,-0.00419761,0.0,-0.02386051,0.02555498,-0.04131054,-0.00591716,-0.00039108,0.01151045,0.00054098,0.06137566,0.00325821,0.0
2016-08,0.01206802,0.01012943,0.02825889,0.02073592,-0.01185915,0.01958864,0.05610098,0.02746365,-0.03634669,0.08304736,0.02922837,0.02580909,0.01150833,0.03195674,0.01668653,0.00383142,0.04056437,0.0455516,0.02617138,0.00753212,0.02182469,0.03784119,0.02243995,0.0111836,0.02370532,0.00865489,0.02223697,0.01306076,0.02449109,0.01445087,0.00291121,-0.01122394,0.02575971,0.01917476,0.01575021,0.02605863,0.04813754,0.01768307
2016-07,0.03076063,0.02096317,0.0587103,0.06050955,0.02592316,0.04102219,0.03350515,-0.00682057,-0.0698744,0.04283708,0.02047244,0.06334056,0.061837,0.03379722,0.02340936,0.01370344,0.04236902,0.06971514,0.05104712,0.04633028,0.01472701,0.0409264,0.04782181,0.00743494,0.04490566,0.02074991,0.04589041,0.0502677,0.0382603,0.01758593,0.06666667,0.01886792,0.04777801,0.05055612,0.03071288,-0.01052632,0.06692445,0.03337196
2016-06,-0.01929438,-0.03026906,-0.04381919,-0.09988497,-0.0494908,-0.0027137,-0.1136885,-0.01296008,0.02362063,-0.12804878,-0.03583683,-0.05080545,-0.05610236,-0.08939052,-0.03482298,-0.00805886,-0.06226013,-0.05524079,-0.08176353,-0.05015264,-0.0292887,-0.11448664,-0.05422993,-0.02459016,-0.06281228,-0.02065527,-0.0549806,-0.04954181,-0.12018401,-0.03046082,-0.1514393,-0.0386423,-0.03445497,-0.08536869,-0.03138646,-0.01869159,-0.10533369,-0.03945609
2016-05,-0.00984683,-0.00941828,0.013947,0.01065891,0.01866423,-0.00472175,0.01112836,-0.02552323,0.01897568,-0.00903614,-0.0284658,-0.02262626,0.01786613,-0.03882657,0.01128936,-0.01251303,-0.00213858,-0.05437666,-0.0334873,-0.01205857,-0.01704158,0.0155543,-0.04419384,-0.01957295,-0.00496983,-0.01229796,-0.01432665,-0.01914414,0.00770108,-0.02027721,0.07210884,-0.01342282,0.01946322,0.00748188,-0.01583043,-0.0225641,-0.02367326,-0.01318102
2016-04,0.04367816,0.04778555,0.02250958,0.00687758,0.00628814,0.01659751,-0.01336074,0.09977578,-0.07387508,0.06225931,0.02516203,0.02815126,0.0,0.05525362,0.01029056,0.03527273,0.00959442,0.02878684,0.0675453,0.03234501,0.05001799,0.02124563,0.03400064,0.04686036,0.01866764,0.04946077,0.03695073,0.01585928,0.02053991,0.01501976,0.03370787,0.02702703,0.01929126,0.01605175,0.03962901,0.0976431,0.07035886,0.03483841
