Month,ITM,MLN,MUB,MUNI,PVI,PZA,SHM,SMB,SMMU,SUB,TFI
2019-05,0.01394014,0.01425061,0.01160698,0.01113173,0.00040209,0.01127966,0.00723739,0.00686106,0.00539137,0.0048268,0.01318191
2019-04,0.00577915,0.01044257,0.00716358,0.00634447,0.00040258,0.01101062,0.00124121,0.0017192,0.0024,0.00104246,0.00735745
2019-03,0.01783092,0.02962206,0.01469373,0.01303362,-0.00040241,0.01956869,0.00332295,0.00632911,0.00682868,0.00428082,0.01574803
2019-02,0.00803043,0.00978877,0.00665742,0.00779912,0.00201532,0.00683554,0.00375078,0.00461894,0.00282315,0.00123928,0.00584307
2019-01,0.00679261,0.00569064,0.00408012,0.00707457,0.00040323,0.00160966,0.00376569,0.00639535,0.00161681,0.0027722,0.00502618
2018-12,0.01489316,0.01204819,0.01295896,0.01122943,0.00201857,0.01394014,0.00759173,0.00467563,0.00569801,0.00653846,0.01231423
2018-11,0.01403817,0.01707577,0.01140251,0.01055718,0.0,0.01078838,0.00636943,0.00706714,0.00387993,0.00454414,0.01600346
2018-10,-0.00632221,-0.01053741,-0.00529151,-0.00408799,0.00202265,-0.00740741,-0.00275249,0.00176678,-0.00081466,-0.00116009,-0.00728988
2018-09,-0.00970874,-0.01300052,-0.00526217,-0.00271265,0.0,-0.00814996,-0.00421941,-0.00526932,-0.00527919,-0.00231437,-0.00870673
2018-08,0.00693842,0.00104004,0.00310559,0.00427517,-0.00040502,0.00367197,0.00105463,0.0,-0.00020333,0.00115774,0.00361933
2018-07,0.0039071,-0.00361944,0.00178857,0.00252574,-0.00040486,0.00367497,0.00232264,0.00117096,0.00348147,0.00309328,0.0004258
2018-06,0.00217202,0.00155682,0.00320967,0.00253066,-0.00121556,0.0012275,0.00402884,0.00353982,0.00389105,0.00329905,0.00085361
2018-05,0.01517818,0.01793249,0.01220908,0.01041667,0.003663,0.01407867,0.00619129,0.00893389,0.00431477,0.00428349,0.01141749
2018-04,-0.0058952,-0.00942902,-0.0062577,-0.00273651,0.002443,-0.00656814,-0.00319081,-0.00355872,-0.00471698,-0.00349786,-0.00492928
2018-03,0.00306681,0.01534392,0.00208887,0.0,-0.00567491,0.00496073,-0.00254669,-0.00059102,-0.00266831,0.00048577,0.00473424
2018-02,-0.0043735,-0.00738007,-0.00190078,0.00019631,0.0,-0.00576606,0.00042472,-0.00118064,-0.00143796,-0.00038858,-0.00621784
2018-01,-0.01501179,-0.02307692,-0.01011804,-0.00911383,0.00081533,-0.01416431,0.00063735,0.00177305,-0.00041127,0.00214112,-0.01392405
2017-12,0.00734024,0.01349948,0.00725662,0.00505345,0.0,0.01144258,0.00021281,-0.00294985,-0.00450635,-0.00126312,0.00679261
2017-11,-0.0066681,-0.00260688,-0.0043286,-0.00582637,0.0,-0.00123052,-0.01053963,-0.01110462,-0.00796569,-0.00560712,-0.00657337
2017-10,0.00215657,0.00736067,0.00094153,0.00194401,0.00122499,0.00288184,-0.00147306,-0.00174825,0.00102354,-0.00135135,0.00233943
2017-09,-0.00664808,-0.00575916,-0.00337806,-0.00194024,0.00040866,-0.00409836,-0.00440067,-0.00581058,-0.00122449,-0.00250313,-0.00549799
2017-08,0.00908304,0.00948867,0.00755644,0.00782014,0.00122699,0.00743187,0.00420345,0.0046729,0.00595238,0.00425203,0.00637484
2017-07,0.0096007,0.00907635,0.00915506,0.00728346,-0.00081733,0.01,0.00591716,0.00764706,0.00309853,0.00436893,0.01031593
2017-06,-0.00347977,-0.00159744,-0.0034201,-0.00078647,0.0012275,-0.00083195,-0.00568301,-0.00410076,-0.0059634,-0.00222652,-0.00427625
2017-05,0.02039911,0.02175095,0.01708989,0.01032361,0.0012285,0.02079796,0.00592969,0.00825472,0.00641556,0.00369255,0.01872415
2017-04,0.00826816,0.00326975,0.00473659,0.00598922,0.00040967,0.00213038,0.00254885,0.00295334,0.00144928,0.0020436,0.00679527
2017-03,0.0042735,0.00881057,0.00652322,0.00745517,0.00082001,0.00471294,0.00170249,0.00177515,0.00290939,0.00048667,0.00707026
2017-02,0.00926973,0.01331115,0.00683928,0.00768298,-0.000819,0.00815451,0.00448622,0.0017783,0.00145651,0.00557348,0.0075388
2017-01,0.00955631,0.00556174,0.00352423,0.00222762,0.00123001,0.00776531,0.0070983,0.00417163,0.00690666,0.00274348,0.00601202
2016-12,0.01969416,0.03797468,0.01710932,0.00900348,0.00082001,0.02073225,0.00432059,0.01581509,-0.00669316,0.00472162,0.01261261
2016-11,-0.05393013,-0.06812134,-0.04001528,-0.03174916,0.00123102,-0.04400671,-0.01762582,-0.02944641,-0.01597842,-0.01138797,-0.04213242
2016-10,-0.01185856,-0.0177268,-0.00916998,-0.01071916,0.00082169,-0.00666945,-0.00211864,-0.0017616,0.0008285,-0.00029186,-0.01020625
2016-09,-0.00558179,-0.00672878,-0.00526365,-0.00369434,0.0,-0.00620347,-0.00400928,-0.00409357,-0.00412797,-0.00310318,-0.00633714
2016-08,0.00322928,0.00415369,0.00320483,0.00390168,0.0,0.00373134,0.00063238,0.00116891,0.00268651,-0.00077467,0.00402031
2016-07,-0.00214454,-0.00103252,-0.00150291,0.00175747,-0.00041085,-0.00534539,0.00232068,0.00234192,0.00186104,0.00194137,-0.00231725
2016-06,0.02060952,0.02486772,0.01614753,0.01166469,0.0,0.02142857,0.00530786,0.00589623,0.00249377,0.00370515,0.01915214
2016-05,0.00087719,0.00694444,0.00316304,-0.0009903,-0.00041085,0.00975817,-0.0002124,0.0,-0.00041451,-0.0009738,0.00432526
2016-04,0.01174125,0.01295896,0.00734868,0.00838658,0.0,0.01026958,0.00341006,0.0053286,0.0031185,0.00224785,0.01025082
2016-03,0.00244336,0.01146288,0.00622265,0.0007992,0.0,0.00992663,-0.00403055,-0.00236128,-0.00165803,-0.00185149,0.00460022
2016-02,0.00133185,0.00435967,0.00252968,0.00380533,0.00082203,0.00129646,0.00361933,0.00414938,0.00332502,0.002245,0.00306681
2016-01,0.01302785,0.01544402,0.00990099,0.00948537,0.00041085,0.00782609,0.00620719,0.00417412,0.00145955,0.00421527,0.01329787
2015-12,0.01021566,0.00777778,0.0070929,0.00812348,0.0,0.00657895,0.00128315,0.00298864,0.00125602,0.00019591,0.0089226
2015-11,0.00595374,0.01240835,0.00555445,0.00142886,0.0,0.00842572,-0.00170794,-0.00179104,0.00020907,-0.00107622,0.00426966
2015-10,0.00344432,0.00795455,0.00378109,0.00719572,0.0,0.00580098,0.00321406,0.00239378,0.00062722,0.00294291,0.00383228
2015-09,0.01114724,0.01091954,0.00560224,0.00682664,-0.00123052,0.00044763,0.00085782,0.00360794,-0.00020934,0.00324739,0.00979053
2015-08,-0.00209156,-0.00855188,-0.00240264,-0.00062163,0.0,-0.00670241,0.00171895,-0.00419413,0.00125865,-0.00284621,-0.00204871
2015-07,0.01037002,0.01983664,0.01104692,0.00814026,-0.00041034,0.01783265,0.00496224,0.01149425,0.00399663,0.00285545,0.01290917
2015-06,-0.00211367,-0.0040674,-0.002124,-0.00207987,0.0,-0.0040965,0.00367329,-0.00060459,0.00063238,0.00227093,-0.00045998
2015-05,-0.00513899,-0.00347222,-0.00302145,-0.00435233,0.0,0.00045475,-0.00172637,-0.00541842,-0.00210482,0.00158087,-0.00251947
2015-04,-0.00807009,-0.01361316,-0.00579652,-0.00431655,0.0,-0.01205357,-0.00193924,-0.0036036,-0.00126103,-0.00147812,-0.00678426
2015-03,0.00978109,0.00915856,0.00603561,0.00578393,0.0,0.00719748,0.0,-0.00359066,0.00126289,-0.00186934,0.00705508
2015-02,-0.01709207,-0.01620112,-0.0104115,-0.01100469,-0.00041017,-0.01372289,-0.0036387,-0.00179211,-0.00104998,-0.00255277,-0.01426025
2015-01,0.02235678,0.02518603,0.01856898,0.01592554,-0.00041,0.01806685,0.00646273,0.01025332,0.0050665,0.00443306,0.02018598
2014-12,0.00892857,0.01334107,0.00842469,0.00415887,0.00041017,0.00960219,-0.00322373,-0.00360144,-0.00567346,-0.00157511,0.00823987
2014-11,0.00164628,0.00349854,0.00264523,0.00542005,-0.00041,0.0018357,0.00086022,-0.00120048,0.00042123,0.00138053,0.00045809
2014-10,0.00306821,0.00468658,0.00193404,0.00208464,0.0,0.00137804,0.00107643,0.00060096,-0.00084193,-0.00128003,0.00068839
2014-09,0.00094832,0.00295159,0.00143208,0.0,0.00041,0.00604933,0.00107735,0.00180505,-0.00042159,-0.00157511,0.00369857
2014-08,0.011486,0.01983173,0.00894326,0.00652769,0.0,0.01414427,0.00258565,0.00301023,0.00084406,0.00276025,0.01002331
2014-07,0.00385356,0.00060241,0.00476832,0.00105574,-0.00081934,0.00810682,0.00237838,0.00181488,0.0,0.00029597,0.0072924
2014-06,0.00096293,0.00604961,0.00031101,0.00169062,0.0,0.00911271,-0.00043262,-0.00241255,0.00105664,0.00059265,-0.00046948
2014-05,0.01214477,0.02214022,0.00950491,0.00808167,0.0,0.01645692,0.00368764,0.00303398,0.00317729,-0.00059283,0.01185958
2014-04,0.0180559,0.01885607,0.0144343,0.00944409,0.0,0.01624016,0.00370128,0.0006068,0.00148431,0.00207921,0.01637765
2014-03,-0.00516224,0.00062775,-0.00063519,-0.00405723,0.0,0.01043219,-0.00734024,-0.00722456,-0.00401013,-0.00207285,-0.00335731
2014-02,0.01096163,0.01864952,0.00930979,0.00689953,0.0,0.00904523,0.00499349,0.00790274,0.00105843,0.00158259,0.00776322
2014-01,0.02740779,0.04435484,0.02245345,0.01268314,0.0,0.03699844,0.00326655,0.00121803,0.0012728,0.00198255,0.02387466
2013-12,-0.00663265,-0.01000667,-0.00098793,-0.00196635,0.0,-0.00519481,0.00130719,0.00427611,0.00042526,-0.0004951,-0.00223769
2013-11,-0.00430598,0.0,-0.00120219,-0.0008707,-0.000819,0.00573215,0.0,-0.00244051,0.0010627,0.0010903,-0.00123762
2013-10,0.00893541,0.01133333,0.01380148,0.00766871,0.0,0.01315097,0.00459921,0.00553506,0.00085143,0.00188829,0.0084788
2013-09,0.0415004,0.06874557,0.03044071,0.02416107,-0.00081934,0.02920498,0.01218702,0.01242236,0.0008547,0.00499251,0.03488372
2013-08,-0.0125163,-0.03011636,-0.01561629,-0.00884173,0.0,-0.01693122,-0.00681319,-0.01287554,-0.00425713,-0.00139512,-0.00741119
2013-07,0.00365249,-0.02068045,-0.0163234,-0.0039604,-0.00081867,-0.03478261,0.0117804,0.00554529,-0.00825572,0.00978908,-0.01431082
2013-06,-0.04737103,-0.06246096,-0.02646015,-0.03127008,0.0004095,-0.0468979,-0.01575837,-0.00733945,-0.0014862,-0.00628617,-0.03467507
2013-05,-0.03696545,-0.03783784,-0.03134764,-0.01952551,0.00040967,-0.02390057,-0.0013109,-0.0090799,-0.00296422,-0.00328326,-0.02347084
2013-04,0.01573255,0.02279729,0.01534554,0.01277139,-0.0004095,0.01557178,-0.00043716,0.00182039,0.00042427,0.00069812,0.0117987
2013-03,-0.0097704,-0.01934704,-0.01504388,-0.00424088,0.0,-0.01108434,0.0,0.00060753,0.00063667,-0.00446473,-0.00454545
2013-02,0.00171485,-0.0006035,0.00167768,0.00276772,0.00040967,0.00241546,0.00087719,0.0,0.0017014,0.00248855,-0.00358166
2013-01,0.0029513,0.01038485,-0.0024147,0.00256082,0.00040984,0.0058309,0.00396651,0.00427873,0.00063898,0.00209623,0.00215363
