Week,ERUS,FONE,IXP,IYZ,LTL,VOX,XTL
2016-12,-0.02857143,-0.02852349,-0.00596961,-0.00680029,0.00629371,-0.00264964,-0.01326855
2016-11,0.02305987,0.0161748,0.00381194,0.00429031,0.00210231,0.00677884,0.00639218
2016-10,0.00223314,0.0103211,0.01829268,-0.00991501,-0.02616015,-0.00240819,-0.00712277
2016-09,0.0870856,0.0334628,0.0265806,0.02038588,0.04406037,0.02395433,0.0192123
2016-08,-0.02765432,-0.01021635,-0.002835,0.0399539,0.08374384,0.02259382,0.029994
2016-07,0.02573529,0.03924647,0.00847131,0.01183432,0.0295858,0.00610628,0.02995392
2016-06,-0.00589812,-0.02235516,-0.00981902,0.01956788,0.01063183,0.00806665,0.03230118
2016-05,-0.00365154,-0.02457002,-0.01035782,-0.02161328,-0.00684182,-0.00848984,-0.02742268
2016-04,0.125,-0.01245718,0.04540928,0.04665314,0.11714824,0.0463138,0.01140684
2016-03,0.06242775,0.03862247,0.02543399,0.02567288,-0.00562149,0.02694114,0.01661342
2016-02,-0.05846663,-0.04312752,-0.02033493,-0.04352988,-0.09355568,-0.03034799,-0.04040609
2016-01,-0.05427547,-0.04125219,-0.01962709,-0.03369066,-0.07772416,-0.022128,-0.04779201
2016-00,0.00452034,-0.01606539,-0.00481788,-0.01619433,0.02100622,-0.01378511,-0.00372301
2015-51,0.03063787,0.01779564,0.01802861,0.02952309,0.00364394,0.0265592,0.03169754
2015-50,0.0014771,0.00845728,0.00573349,0.01159196,-0.05299482,0.00860678,0.01101449
2015-49,-0.03542365,-0.04102707,-0.03396009,-0.04590525,-0.0150522,-0.03760373,-0.03862424
2015-48,-0.03683977,-0.01844206,-0.00133843,-0.00617733,0.01321378,0.00247267,0.00200767
2015-47,-0.0529608,-0.00656455,0.00114679,0.00509647,0.00691299,0.00600914,0.00697632
2015-46,0.05715552,0.01065919,0.01190248,0.01288185,-0.00427249,0.01053463,0.01626776
2015-45,-0.04376658,-0.03900709,-0.01121206,-0.03007246,-0.02881512,-0.02555078,-0.03641661
2015-44,-0.00260304,-0.00243902,-0.01896357,-0.01312988,-0.02341288,-0.01275673,0.0045208
2015-43,-0.02133217,-0.01007625,-0.00300752,0.00217155,0.0,0.00387948,0.00128488
2015-42,0.00988397,0.00136724,0.03237689,0.03893673,0.03331651,0.03073034,0.03624693
2015-41,0.03935986,0.03074753,0.00524577,0.01446517,0.01615799,0.01009965,0.00320332
2015-40,0.08873563,0.05673759,0.01041462,0.01472868,0.057849,0.01164384,0.01662209
2015-39,0.01103118,0.00445236,0.00832995,0.00241061,-0.10076903,-0.00014096,0.01889068
2015-38,-0.0260274,-0.01921397,-0.0141315,-0.02239939,-0.0457996,-0.01601303,-0.02869166
2015-37,0.00229253,0.0020438,-0.00392542,0.00613968,0.0275611,0.00081722,0.00484308
2015-36,-0.00046275,0.00410437,-0.01415997,-0.01394648,-0.0122825,-0.00580689,-0.01521202
2015-35,-0.08901433,-0.02592047,-0.02560673,-0.00684671,-0.01630989,-0.01248982,-0.00934936
2015-34,0.15740741,0.08431435,0.03301238,0.03764706,0.01605386,0.0271361,0.03269004
2015-33,-0.08431019,-0.06178815,-0.03842652,-0.0421318,-0.09122322,-0.03208695,-0.0509058
2015-32,-0.03671706,-0.01609323,-0.01612037,0.01368343,0.00676002,0.00353635,-0.0014652
2015-31,0.01257297,-0.01960243,-0.00181686,-0.01896616,-0.04150295,-0.01733193,-0.01270952
2015-30,0.0252996,0.02215989,0.01701183,0.046875,0.01274224,0.03217049,0.04613039
2015-29,-0.04526749,-0.01498229,-0.02230216,-0.0384185,-0.07237488,-0.03290676,-0.01409496
2015-28,0.0131309,0.02942825,0.01167883,0.00674157,0.00511073,0.00618177,0.00967082
2015-27,0.02150084,-0.02699755,0.01373422,-0.00638138,-0.00695479,-0.00316289,-0.00299569
2015-26,0.01826484,0.00427807,0.00570063,-0.00111276,0.0,-0.0011757,-0.00478557
2015-25,-0.0293657,-0.02601377,0.00018012,-0.01395349,-0.02665771,-0.00357782,-0.02681388
2015-24,0.00917065,0.00283432,0.01110289,0.0098289,0.00371144,0.01287219,0.00759986
2015-23,0.00984413,0.0015448,0.00815419,0.00911743,0.01953034,0.00717454,0.01104185
2015-22,-0.01534733,-0.01106362,-0.01101119,0.00993743,0.04422426,0.00039093,0.00587502
2015-21,-0.03967066,0.00782236,-0.00308474,0.00658858,0.01622003,0.00362929,0.01366169
2015-20,-0.0207365,0.00202276,-0.00197097,-0.01511335,-0.04256283,-0.01037796,-0.00566773
2015-19,0.02169197,0.00976362,0.01028695,0.01132627,0.01418605,0.01093465,0.00809353
2015-18,0.02035529,-0.0045755,-0.00428418,-0.02841918,-0.04125083,-0.02256306,-0.01456224
2015-17,0.02040816,-0.02066219,-0.0053495,-0.01466993,-0.04793074,-0.00303222,-0.01234786
2015-16,0.04072224,0.01213654,0.02642687,0.01155058,0.01628664,0.01942989,0.01500536
2015-15,0.00534555,-0.01475,-0.00129438,-0.00809574,0.00471294,-0.00859856,-0.00859445
2015-14,0.01249512,0.01862245,0.00371471,-0.00627834,-0.02957717,-0.00485189,0.00215169
2015-13,0.07894737,-0.00281762,0.00356339,0.0246077,0.05676954,0.01797109,0.00307414
2015-12,-0.01718062,-0.02042379,-0.00912647,-0.02759343,-0.06241901,-0.02392222,-0.03200141
2015-11,0.04713959,0.02084962,0.01535254,0.02520706,0.08026132,0.01952562,0.01084059
2015-10,-0.06878762,-0.01477833,-0.01134644,-0.00541908,0.00455789,-0.00709313,-0.01155145
2015-09,-0.00084746,-0.01759306,-0.03275109,-0.01847247,-0.02083333,-0.02520793,-0.02086621
2015-08,0.03837861,0.02303665,0.0097534,0.01226109,0.00044603,0.00723514,0.0263919
2015-07,-0.00123001,0.00966562,-0.00255009,-0.00639659,-0.01363836,-0.00484385,0.00770057
2015-06,0.09877662,0.0255445,0.01535899,0.02177858,0.03235361,0.01434665,0.03176362
2015-05,0.09796121,0.04125138,0.01931371,0.0392009,0.09614901,0.03869845,0.03958493
2015-04,-0.01145989,-0.01210654,-0.01919851,-0.03562152,-0.05413174,-0.02972399,-0.01717059
2015-03,0.08362369,0.02455172,0.00620767,0.00411831,0.00216972,-0.00145637,0.0175138
2015-02,0.0198906,0.00471175,0.02160911,0.0071888,-0.00464889,0.00898605,-0.01306571
2015-01,0.07010309,0.02015113,0.02134387,0.00458365,-0.01507289,0.00666032,-0.00056338
2015-00,0.00848303,-0.00163488,-0.01751714,-0.01474383,-0.0276487,-0.01477963,-0.01254774
2014-51,0.01932812,0.01255459,0.00512723,0.01191806,0.03633756,0.01094209,0.00621345
2014-50,0.1752809,0.01866516,0.02953919,0.05230043,0.11730205,0.04557603,0.04631416
2014-49,-0.10507569,-0.0169863,-0.04280374,-0.04644195,-0.06517557,-0.04140815,-0.01859504
2014-48,-0.04718113,0.01751026,-0.01194853,-0.01892285,-0.03676968,-0.0176223,0.0039201
2014-47,-0.09687954,0.00879121,0.00994658,0.01088534,0.0325166,0.01023353,0.01248137
2014-46,0.04252088,0.01877277,-0.0027533,-0.00433369,-0.03202457,-0.00816379,0.00188076
2014-45,-0.0269174,0.00167131,0.02366642,0.0193572,0.0649381,0.0182319,0.00997553
2014-44,-0.03900325,-0.00749792,-0.00855655,-0.01806358,0.08078768,-0.01071055,-0.00205993
2014-43,0.03613569,0.05807783,0.03511802,0.03372049,0.0,0.0316259,0.05000984
2014-42,-0.00362713,0.0194378,0.01304009,0.01145038,0.0,0.00712329,0.02828077
2014-41,0.00359195,0.00519084,0.00019662,0.02891089,-0.00578187,0.02113867,0.04669679
2014-40,-0.05549846,-0.06703107,-0.03047511,-0.04346197,-0.1000473,-0.03464079,-0.06583383
2014-39,-0.01788786,-0.01528014,-0.01165633,-0.0092115,-0.04559819,-0.00147552,-0.01673077
2014-38,0.01287263,-0.01527778,-0.00980937,-0.01663653,-0.0396705,-0.01453296,-0.01557455
2014-37,-0.00924092,-0.00410846,0.01,0.0193572,0.03849617,0.01844673,0.00582707
2014-36,-0.02819549,0.0008161,-0.00953429,-0.0028715,-0.03203862,-0.00539971,0.00147874
2014-35,0.07444334,-0.00298346,0.00439319,0.00686664,0.0,0.0051526,0.0
2014-34,-0.06101695,0.0115037,0.01017388,0.01393473,0.0,0.01243316,0.00947867
2014-33,0.00314663,0.00745239,0.00260902,0.00036846,0.0,-0.00160879,0.01617874
2014-32,0.0120247,0.01012658,0.01002269,0.00557621,0.0,0.00310349,-0.00464396
2014-31,-0.02035541,-0.0193657,-0.02295446,-0.02583697,0.0,-0.0228413,-0.00794574
2014-30,-0.00966495,-0.01882092,-0.01642336,0.00584155,0.01539506,-0.00381428,-0.0094376
2014-29,-0.00661834,-0.00358225,0.00682405,0.00625,-0.00696942,0.0029089,0.0
2014-28,-0.04415661,-0.00520833,0.00665434,-0.0057971,0.01994955,-0.00183366,-0.00267943
2014-27,-0.0029129,-0.01386246,0.00093353,0.00109131,-0.02175864,0.00277081,-0.01768912
2014-26,0.02286223,0.01849807,0.00863201,0.00988287,0.0,0.01008894,0.01414827
2014-25,0.00617829,-0.00359414,0.00450958,0.00369004,0.00370456,0.0021339,-0.00151745
2014-24,0.01294011,0.00808025,0.00225268,0.0188253,0.04172697,0.01313118,0.00858943
2014-23,0.00537313,0.00756726,-0.00577496,-0.003367,0.0,-0.00699583,-0.00908575
2014-22,0.03150093,0.02265558,0.00187126,-0.00224719,0.0,-0.00776959,0.02036462
2014-21,-0.00679642,0.01859924,0.00660876,0.01237345,0.0,0.01158405,0.00559846
2014-20,0.02194745,0.01426025,-0.00507137,-0.00149701,-0.01144492,-0.00602087,0.00410718
2014-19,0.02537411,-0.01946329,0.00225989,-0.00559284,0.00215054,0.00309057,-0.00980584
2014-18,0.06563707,-0.00533491,0.0083539,-0.00262763,-0.02642424,0.00927948,-0.02787524
2014-17,-0.01734906,0.01572898,0.02159953,0.04227006,0.07984293,0.03091474,0.02401441
2014-16,-0.0627344,-0.0074096,-0.01412539,-0.02807284,0.04393093,-0.03248355,-0.02324688
2014-15,0.04686423,0.0,0.01373357,0.01970634,0.0,0.01914477,0.02694136
2014-14,0.01216216,-0.00838826,-0.01034954,-0.02053232,-0.06460808,-0.0130248,-0.0273097
2014-13,-0.01273262,0.00714073,0.00136426,-0.00856611,-0.02024668,-0.0019207,-0.01580433
2014-12,0.0372737,-0.00332126,0.00651144,0.00263455,-0.0250591,0.0045827,-0.01718927
2014-11,0.00177809,0.00545124,0.00138751,0.01910585,0.04135894,0.02130985,0.01568702
2014-10,-0.04671584,-0.0078125,-0.01790634,-0.0046332,0.0,-0.00543556,-0.01074863
2014-09,0.01028369,0.01177536,0.01671642,0.01168224,0.04013292,0.01242415,0.02209414
2014-08,-0.06601467,0.0097561,-0.00644405,-0.01837672,-0.04779146,-0.00731602,-0.01902985
2014-07,-0.00939109,0.0093838,0.0090999,0.00538255,0.05473523,0.0061693,0.00412681
2014-06,0.01396055,0.01718104,0.01429147,0.02963256,0.04108137,0.02263765,0.02539252
2014-05,0.06493089,0.02938263,0.03020273,0.02337767,-0.05745691,0.01690391,0.02498002
2014-04,-0.02265861,-0.00032031,-0.00715421,-0.00542005,-0.00743863,-0.00542625,0.00602059
2014-03,-0.03689715,-0.02676626,-0.02522141,-0.02380952,-0.0362458,-0.01563821,-0.02578688
2014-02,0.00732279,0.01896496,0.01423002,0.02006947,0.01808407,0.01875985,0.01765962
2014-01,0.01461561,0.0103126,0.00368074,-0.00609524,-0.00219459,-0.00815982,0.00428766
2014-00,-0.02541899,-0.01080051,-0.01241406,-0.01247166,0.0,-0.01033953,-0.00077776
2013-51,-0.00607735,0.01226202,0.01102941,0.01882443,0.07935285,0.0155587,0.0114061
2013-50,0.02007456,0.01144539,0.01164627,0.03948429,0.05815217,0.02578755,0.03631861
2013-49,-0.01424907,-0.01775339,-0.02084551,-0.01392204,-0.06385144,-0.01562952,-0.02021233
2013-48,0.00404507,-0.00193924,-0.00039116,0.00279441,0.00898357,0.00231314,0.0123839
2013-47,-0.01289238,0.02198163,0.00077836,0.00717417,-0.04998781,0.00747986,0.02159917
2013-46,-0.0027465,-0.00065381,-0.00367647,-0.01331767,0.0,-0.00697608,0.00536857
2013-45,0.01492117,0.0251088,0.01416486,0.00236035,0.0,0.00100215,0.00371364
2013-44,-0.02715784,-0.0167268,-0.01830796,-0.0150289,0.01059635,-0.01748986,-0.0053443
2013-43,-0.01544607,-0.01433692,0.00193761,-0.00734158,0.00669809,-0.00745639,-0.00634466
2013-42,-0.01310616,-0.02292994,-0.00637435,0.00389712,0.00025088,0.00654059,-0.01723113
2013-41,0.01194268,0.01752109,0.0296,0.03581489,0.03722687,0.03942493,0.02389148
2013-40,0.02967848,-0.00422078,0.01671082,0.01593788,0.0,0.01395768,-0.0026252
2013-39,0.02124092,0.0147929,0.013185,0.00369155,-0.00523849,0.0,0.02735751
2013-38,-0.01494159,-0.00457666,0.01056119,0.00493218,-0.00602905,0.00255409,-0.00611496
2013-37,0.01428964,-0.00262467,-0.00103821,0.00206697,0.03108223,0.00196108,0.01426504
2013-36,0.013322,-0.00066072,0.01767462,0.0167364,0.04484566,0.02360019,0.0123302
2013-35,0.04948076,0.03938655,0.01461287,0.00169635,0.0188172,0.00280243,0.02459016
2013-34,-0.02037148,-0.00752149,0.00043773,-0.01133977,-0.03841743,-0.01056823,-0.01572795
2013-33,0.01681682,0.00359454,0.00699913,0.01744681,0.01454869,0.01479655,0.00708155
2013-32,-0.0032826,0.0010772,-0.01026958,-0.02973523,0.0,-0.02912047,-0.02067825
2013-31,-0.00775888,0.00323508,-0.0019153,-0.01485347,-0.02292722,-0.01257126,0.00103734
2013-30,-0.00651273,0.01723506,0.00728519,-0.00805477,-0.01353144,-0.00901687,0.01181684
2013-29,-0.02320917,-0.00255009,0.00796899,-0.01116427,0.00346113,-0.00420412,-0.01457119
2013-28,0.02577622,-0.00989373,0.0065445,0.0068576,0.02521008,0.00058216,0.01224404
2013-27,0.0558154,0.03461392,0.01596098,0.03127715,0.0,0.01858568,0.03522677
2013-26,0.00468457,-0.00560119,-0.00022242,0.01235112,0.0,0.01681061,-0.00066007
2013-25,0.02185792,0.03131115,0.03550842,0.04799262,0.09620787,0.03619837,0.03735301
2013-24,-0.0391198,-0.01354912,-0.03438395,-0.0317041,-0.05539545,-0.02179289,-0.01952085
2013-23,-0.00248911,-0.01355932,-0.00617012,0.0004363,-0.00064103,0.0035401,0.00398671
2013-22,-0.02406015,0.00983359,0.01688429,0.0,-0.01234568,0.01288498,0.01124859
2013-21,-0.0543131,0.0102118,-0.03107345,-0.0235647,-0.03111909,-0.02332719,0.01325545
2013-20,-0.01362862,-0.02641369,-0.0257547,-0.01341719,-0.02650533,-0.01543765,-0.0157883
2013-19,-0.00457274,0.01252372,0.00551549,0.01874734,0.04681873,0.01494565,0.03270814
2013-18,0.00681818,0.00655864,0.01088581,0.0177259,0.01092233,0.01832621,0.00804598
2013-17,0.0429757,0.00547517,0.00490301,-0.00301724,-0.01237923,-0.00106351,-0.00254218
2013-16,0.03710575,0.03026585,0.00996966,0.01669596,0.0936058,0.0058309,0.01682066
2013-15,-0.01007326,-0.00737403,0.01057735,0.01704036,-0.00979112,0.01375645,-0.0268892
2013-14,-0.00607991,0.03061647,0.02837355,0.03810836,0.08307373,0.03681178,0.03999042
2013-13,-0.02030892,-0.01874491,0.00813927,0.01799242,0.02212389,0.0122569,-0.0259863
2013-12,0.00198132,0.00364372,0.00203666,0.00475285,0.0,0.00394607,0.00857756
2013-11,-0.00970335,0.00486224,0.01443961,0.00238436,0.0022363,0.00629139,-0.01630941
2013-10,-0.00403226,0.00282144,-0.00386891,0.00190749,0.02293233,0.00149303,0.00397661
2013-09,0.03870611,0.02267106,0.02283318,0.01548887,-0.00225056,0.0156513,0.02321685
2013-08,-0.00735695,0.0138191,0.01258608,-0.00865385,-0.00633619,0.00254972,-0.01574248
2013-07,-0.02347418,-0.02446851,-0.0041958,0.00190024,-0.00776627,-0.00084147,-0.02263802
2013-06,-0.01048218,0.00322971,-0.01702323,-0.03055556,-0.04231863,-0.01189081,-0.01591271
2013-05,-0.0116249,0.01558016,-0.00045882,0.00556328,0.0,0.00050159,0.00957156
2013-04,0.00101317,-0.00680272,0.02453704,0.01350722,-0.01298701,0.02514441,-0.01205641
2013-03,0.01707191,-0.00599281,0.00372007,0.0,0.01279772,0.00034054,0.01207337
2013-02,0.00543338,0.01220008,-0.00670055,-0.00376294,-0.02476123,-0.00342759,0.00488259
2013-01,-0.01220145,0.00951199,0.00578838,-0.0069541,-0.00247001,-0.006914,-0.01130856
2013-00,0.02495403,0.03402807,0.02035985,0.02667937,0.05431548,0.02619254,0.03969393
