Month,EMIF,FXU,GII,IDU,IGF,INXX,JXI,PSCU,PUI,RYU,SDP,UPW,VPU,XLU
2019-05,-0.02930791,-0.00283386,-0.01001571,-0.00489396,-0.00886721,-0.03404255,-0.00112108,-0.03567341,-0.01035132,-0.00613497,0.01286863,-0.01926445,-0.00440495,-0.00223714
2019-04,-0.01529903,0.00495575,0.01163938,0.01509357,0.01291472,-0.02740864,0.00650437,-0.01169482,0.00311818,0.01176103,-0.02606383,0.02967149,0.01545871,0.01627142
2019-03,-0.02452316,0.00283688,0.02244238,0.02476522,0.02095672,0.09944751,0.02116002,-0.00370851,0.02700127,0.0287808,-0.04657114,0.04767123,0.02604703,0.02574502
2019-02,-0.01930759,0.02400873,0.02638687,0.04246964,0.03029591,0.01217228,0.02901655,0.01429116,0.03395978,0.04007528,-0.08286517,0.0876145,0.04234905,0.04506002
2019-01,0.06548043,0.04273828,0.08616423,0.05610409,0.0831643,-0.07277397,0.06349206,0.07835516,0.08463173,0.04950839,-0.10989011,0.11152416,0.05679937,0.05287623
2018-12,-0.0078853,-0.06427819,-0.03836982,-0.04985735,-0.03669276,0.01194539,-0.03289344,-0.11843756,-0.05495584,-0.04455768,0.09439387,-0.10635071,-0.04948805,-0.04957481
2018-11,0.0,0.03967671,0.00681169,0.03936536,0.00793651,0.04460303,0.0376931,0.00431965,0.06359803,0.03454134,-0.07611549,0.07953362,0.04237143,0.04010644
2018-10,-0.04547069,0.00368324,-0.04316394,0.01661482,-0.0413561,-0.06482282,0.00309853,-0.0271079,0.00352609,0.02537365,-0.02972399,0.04519292,0.01486603,0.0232333
2018-09,0.02673014,0.00443295,-0.00869197,-0.00928352,-0.00647948,-0.07239459,-0.00675261,0.04449691,0.00105485,-0.0021897,0.03346543,-0.02997331,-0.00854263,-0.01087994
2018-08,-0.0297619,0.05332814,-0.01458637,0.02002762,-0.01295642,0.01864802,0.00698869,0.02867316,0.0253073,0.03037884,-0.05845771,0.0509915,0.02013834,0.01934727
2018-07,0.05738304,0.00270688,0.02000842,0.00898204,0.0216152,0.05323505,0.01423561,0.0031871,0.0229927,0.01481659,-0.02110054,0.01822126,0.00902322,0.00881489
2018-06,-0.06315434,0.03373494,0.02185558,0.04048941,0.02029966,-0.06354009,0.03140355,0.03073058,0.02813203,0.04298388,-0.07590634,0.08366627,0.03964394,0.04407827
2018-05,-0.02695595,-0.00039809,-0.01051525,-0.00284698,-0.01539555,-0.05353319,-0.02191441,0.02494062,0.01770912,-0.00758039,0.00311163,-0.0159982,-0.00108372,-0.00804829
2018-04,-0.01159794,0.03431373,0.03788374,0.03307536,0.03147877,0.02099928,0.03877464,0.054375,0.04395604,0.03242021,-0.06157817,0.06610778,0.03372461,0.02825908
2018-03,-0.0050537,0.03556485,0.01055579,0.03977177,0.00729217,-0.03409882,0.05200266,0.02166215,0.04839366,0.03833204,-0.08068966,0.07822785,0.04025363,0.03780799
2018-02,-0.04268109,-0.02612245,-0.06141764,-0.02480963,-0.06418689,-0.05013193,-0.03739907,-0.04283427,-0.02864992,-0.02648092,0.03659849,-0.05222808,-0.02655943,-0.02344398
2018-01,0.01900674,-0.01785006,0.00483481,-0.02421574,0.00636653,-0.02233567,-0.00773897,-0.01649845,-0.03688525,-0.0221843,0.05089355,-0.05914809,-0.0229523,-0.02196924
2017-12,0.00785669,-0.05534779,-0.00983343,-0.0563204,-0.02453714,0.06712329,-0.04383343,-0.06104651,-0.05549775,-0.04737146,0.11263251,-0.11374134,-0.05506366,-0.05744125
2017-11,-0.03119266,0.01899696,0.01425081,0.03442785,0.01702997,-0.03188029,0.02025522,0.03461826,0.03508772,0.03346433,-0.05658005,0.05787977,0.03421624,0.03262956
2017-10,0.0063791,0.00986717,0.00926307,0.03694735,0.00870362,0.1084425,0.02858919,0.02795328,0.02970297,0.02387879,-0.06553494,0.0755287,0.03579739,0.03722035
2017-09,-0.00753239,-0.02959674,-0.0213151,-0.02437906,-0.01904975,-0.03701117,-0.02582207,-0.02010622,-0.03183119,-0.02766611,0.04905969,-0.04417506,-0.02272528,-0.0245648
2017-08,0.00213285,0.00669892,0.01264016,0.0250997,0.01205093,0.0042735,0.01101142,0.03943718,0.02378339,0.01387892,-0.04399057,0.05154639,0.02385222,0.02713409
2017-07,0.04857782,0.01755725,0.03452658,0.02979275,0.03425467,0.0648855,0.03044397,0.00784866,0.02649508,0.03885072,-0.04777535,0.05853883,0.03161026,0.02910432
2017-06,0.01958225,-0.03389831,-0.00798152,-0.03298246,-0.00746965,-0.02043906,-0.0317978,-0.00480673,-0.02535832,-0.03475646,0.05746677,-0.07217373,-0.03127801,-0.03389831
2017-05,-0.00522193,0.02519084,0.04056437,0.04631683,0.04065638,-0.01865672,0.06284093,-0.00424586,0.03091603,0.03651933,-0.08253291,0.11147929,0.04521854,0.04761905
2017-04,-0.01262136,0.00726855,0.00823687,0.00666173,0.01515905,0.04276827,0.00305877,0.07309185,0.01113671,0.00895447,-0.01919721,0.00875532,0.00728546,0.00791667
2017-03,0.04667802,-0.00530705,0.03498274,0.00737243,0.03656025,0.05284889,0.02939197,0.00971083,0.01083591,0.00113852,-0.0224758,0.00930788,0.00752596,0.00755509
2017-02,0.03839254,0.03358063,0.02812872,0.06802423,0.03519062,0.01696353,0.05483643,0.02087497,0.06121611,0.0517059,-0.12708205,0.14686998,0.06738626,0.07130125
2017-01,0.02319588,0.00894594,0.00745013,0.01585633,0.01368026,0.1069723,0.01367925,-0.01242768,0.01768819,0.01520561,-0.02435265,0.03074044,0.01561398,0.01488889
2016-12,0.01612298,0.05643154,0.03937798,0.0556836,0.03736202,-0.01998097,0.05210169,0.04548556,0.05413599,0.05428851,-0.11434055,0.11480273,0.05784949,0.05743085
2016-11,-0.04085946,0.00123711,-0.03118254,-0.03135518,-0.03536717,-0.09375,-0.05374823,0.08106784,-0.00638026,-0.021981,0.04489437,-0.04296981,-0.02790555,-0.03673835
2016-10,-0.02204137,0.01980198,-0.02533705,0.02221235,-0.02384696,-0.00607639,0.0,0.00604595,0.00461023,0.01335492,-0.0468841,0.03964401,0.02163659,0.02340761
2016-09,-0.01377225,0.00575421,0.01471963,0.00937555,0.01529939,-0.00879507,0.01047242,0.0201227,0.02414231,0.00562475,-0.03163088,0.01463544,0.00950823,0.00873069
2016-08,0.04143454,-0.04756335,-0.01352297,-0.05502831,-0.02073076,0.01428571,-0.06194111,-0.07307172,-0.07095257,-0.05662983,0.11053485,-0.10908229,-0.05356455,-0.05592935
2016-07,0.02956893,0.01378495,0.0289168,-0.00841515,0.02552632,0.07677725,0.0043592,-0.00157303,-0.01085271,-0.00571713,0.00032616,-0.02111369,-0.00792665,-0.00689511
2016-06,0.05433962,0.06557377,0.03604708,0.07133398,0.03207393,0.06237425,0.05718238,0.08988764,0.08068562,0.06449477,-0.12707499,0.13788558,0.07211538,0.07335128
2016-05,-0.02788845,0.00210349,-0.00146341,0.00857756,-0.00995694,-0.00400802,-0.00708895,0.00965347,0.02058319,0.00520486,-0.01454139,0.00457481,0.00849565,0.00702152
2016-04,0.00719424,-0.02794903,0.03905656,-0.02577139,0.02869081,0.02151639,-0.00465549,-0.02431835,-0.01364024,-0.01960526,0.05484147,-0.06475943,-0.02394782,-0.02796272
2016-03,0.09731013,0.09497965,0.06749934,0.08641975,0.0661157,0.12082854,0.06789356,0.04718693,0.06907594,0.08582463,-0.14921021,0.19466248,0.08592708,0.08508581
2016-02,0.01569599,0.025058,-0.00540394,0.00729577,-0.00060114,-0.06974128,-0.01503574,0.00861619,0.01105991,0.0242265,-0.0284689,0.01249219,0.0072488,0.00971581
2016-01,-0.01977401,0.02416626,0.0102069,0.05235228,0.00790274,-0.09654472,0.03154655,0.05219553,0.06689792,0.04453691,-0.11019567,0.10338681,0.05055049,0.05157298
2015-12,-0.01954023,-0.00335893,-0.02446725,0.01183371,-0.03432228,0.01112235,-0.00278905,-0.0075188,0.01880257,0.00908671,-0.04029009,0.05685987,0.01399689,0.01303441
2015-11,-0.03516648,-0.03228825,-0.0382569,-0.02070856,-0.04412175,-0.0332681,-0.03513982,-0.01038615,-0.00835792,-0.02215142,0.01513292,-0.04571027,-0.02192879,-0.02235355
2015-10,0.05851911,0.0350365,0.0469905,0.02821022,0.04141149,0.00393701,0.04090085,0.11838565,0.04396728,0.03703704,-0.0329649,0.06498873,0.03013732,0.02261967
2015-09,-0.02080879,0.04957006,-0.00398512,0.05737705,0.00469484,0.03806584,0.03204449,0.06317119,0.05825762,0.04238953,-0.08300607,0.12156057,0.05480147,0.0577399
2015-08,-0.08126095,-0.0351711,-0.04557706,-0.0392277,-0.04933586,-0.12756849,-0.06361446,-0.02882883,-0.02905199,-0.03212355,0.07674051,-0.08226496,-0.03996679,-0.03981505
2015-07,-0.04378109,0.04430065,-0.00024355,0.0523532,0.00081081,-0.00932203,0.04379562,0.0431677,0.05294118,0.04260126,-0.10484721,0.11856287,0.05080716,0.05473856
2015-06,-0.04830615,-0.06448598,-0.04424157,-0.06253177,-0.04359107,-0.03811102,-0.05319656,-0.0346579,-0.06359539,-0.05569155,0.14265762,-0.12152166,-0.0623086,-0.06121399
2015-05,-0.04657452,-0.00925926,-0.01555352,-0.00132221,-0.01779359,0.02102607,0.00816523,0.00209268,-0.01090729,-0.0050236,-0.01486117,-0.00035373,-0.00035382,0.00051546
2015-04,0.09093915,0.00749415,0.03647199,-0.00680341,0.05210851,-0.06279809,0.01443602,-0.02636917,-0.01371205,-0.00259028,0.00117005,-0.01840708,-0.00635444,-0.0056701
2015-03,-0.00801603,-0.00697999,-0.00190386,0.01192679,-0.0059108,-0.05729565,-0.01619531,0.01851852,0.01092354,0.00091898,-0.02452005,0.02318841,0.01311241,0.009375
2015-02,0.006,-0.0336581,-0.00593965,-0.06455565,-0.01084082,0.01942502,-0.04066712,-0.02313476,-0.05629903,-0.05214286,0.11955801,-0.13200121,-0.06429743,-0.06807903
2015-01,0.02070393,0.00358744,0.00310707,0.01480058,0.00107124,0.04376548,0.00928074,0.00818953,0.02360718,0.00901949,-0.04193139,0.02804033,0.01619569,0.01850499
2014-12,-0.0236509,0.0291937,-0.00499168,0.03402382,-0.02203568,-0.04578313,0.01055842,0.07147239,0.02024096,0.02108254,-0.07183402,0.08852006,0.03426647,0.03388973
2014-11,0.00130039,-0.00138696,0.00595238,0.00090144,0.00473684,-0.02859351,0.01022835,0.00363196,-0.00287632,0.0048012,-0.01164344,-0.00345304,0.00174581,0.00509295
2014-10,0.03698767,0.07765531,0.02893265,0.07966823,0.02632993,0.092827,0.04471344,0.13851468,0.06157004,0.0672147,-0.14066289,0.17035217,0.07912032,0.07406388
2014-09,-0.08370703,-0.02195122,-0.04124189,-0.0164924,-0.04244439,-0.07733538,-0.02078299,-0.05254622,-0.03281949,-0.00928297,0.02546829,-0.0068328,-0.01696818,-0.00987113
2014-08,0.04511743,0.04080605,0.03143606,0.04857846,0.03266399,-0.01393189,0.027127,0.03692514,0.04754522,0.03997368,-0.08808763,0.1016066,0.0483098,0.04515763
2014-07,0.00186451,-0.04427334,-0.03536165,-0.06195996,-0.02865995,-0.08757062,-0.04635917,-0.05606299,-0.05232274,-0.04038005,0.13089983,-0.12623951,-0.06111247,-0.05850778
2014-06,0.02927928,0.03916708,0.03440038,0.04518171,0.03400268,0.02361624,0.03314783,0.04352127,0.05555556,0.04467072,-0.09267681,0.1022351,0.0465587,0.04440744
2014-05,0.02005919,-0.00197628,0.01909892,-0.01089184,0.02417582,0.22222222,0.00389294,0.0,-0.01422042,-0.00440313,0.0224323,-0.03062047,-0.01112222,-0.01503554
2014-04,0.00364359,0.03606388,0.01969584,0.04514085,-0.00302115,-0.00375587,0.00940129,-0.00491481,0.03803487,0.05539258,-0.08966609,0.09397163,0.04400786,0.04955344
2014-03,0.03593642,0.05016181,0.03951131,0.04352927,0.04316547,0.20382883,0.04289751,0.04,0.02648649,0.04763617,-0.07654921,0.08891013,0.04218665,0.0438937
2014-02,0.04913295,0.04504505,0.06417992,0.04101633,0.05805866,0.06957547,0.06688329,0.02469565,0.0530474,0.05534639,-0.08013062,0.07613694,0.04404545,0.04286155
2014-01,-0.05100671,0.03610315,0.00734095,0.0435708,0.00059827,-0.08176101,0.01690294,0.00446582,0.02197183,0.0279574,-0.05961675,0.05938494,0.04345307,0.04574536
2013-12,0.01259947,0.01549053,0.0232431,0.01602805,0.03861477,0.03645833,0.03260569,0.04803956,0.03859447,0.01312037,-0.03361442,0.03107961,0.01623424,0.01340568
2013-11,0.0035936,-0.03266888,0.00430918,-0.02647237,-0.01024096,0.0104712,-0.01382863,0.00667135,-0.00512528,-0.02657317,0.05648536,-0.05996925,-0.02573116,-0.02630764
2013-10,0.02997642,0.04099307,0.029102,0.03397323,0.02752861,0.10416667,0.02839644,0.03825334,0.0439691,0.03830606,-0.07652429,0.07563025,0.03647817,0.034505
2013-09,0.06499637,0.02561048,0.06770057,0.02496424,0.06272818,0.17241379,0.04593329,0.04490107,0.02331288,0.01914348,-0.05427909,0.05710886,0.02578408,0.02350215
2013-08,-0.03398739,-0.04985994,-0.03744997,-0.06165541,-0.04457179,-0.13294798,-0.05260244,-0.08347706,-0.05263158,-0.0572744,0.13202042,-0.123069,-0.06194938,-0.05764488
2013-07,0.01813565,0.05726341,0.04242605,0.05619856,0.04156889,-0.09437964,0.05216622,0.08277154,0.06223044,0.058281,-0.10851884,0.10148233,0.05841052,0.05648604
2013-06,-0.07312982,0.01931201,-0.01816584,0.01039261,-0.0232482,-0.11154219,-0.01010684,-0.01281113,0.00800986,0.00643275,-0.02263023,0.02485549,0.00742501,0.00685602
2013-05,-0.03622251,-0.0304628,-0.04559527,-0.06978967,-0.04989018,-0.09464286,-0.05882353,-0.01516245,-0.02450687,-0.06860254,0.1480671,-0.12725451,-0.07222759,-0.08145476
2013-04,0.03375248,0.06103576,0.07138608,0.05852195,0.04858168,0.09756098,0.07807018,0.06226415,0.06100629,0.06809898,-0.1066091,0.11767926,0.05919815,0.0619469
2013-03,-0.01463891,0.04490058,0.03996311,0.05224468,0.02842809,-0.04753029,0.03967293,0.03224553,0.04251145,0.04711307,-0.11193367,0.09837055,0.05208808,0.05174129
2013-02,-0.01158301,-0.01142132,-0.00699088,0.0193133,-0.01183043,-0.11783961,-0.0077821,-0.00038805,-0.01035599,0.00951417,-0.04753286,0.04534005,0.0197205,0.02068498
2013-01,0.03368137,0.03075916,0.00614439,0.03166667,0.00901202,-0.02698413,0.0066345,0.0220088,0.01460823,0.02610148,-0.07125912,0.07002039,0.03150113,0.02868136
